id;start_date;end_date;language
1;2020-02-11T23:16:00;2020-02-11T21:06:15;SPANISH
2;2020-02-11T04:06:11;2020-02-11T23:10:36;SPANISH
3;2020-02-11T19:01:30;2020-02-11T05:35:39;FRENCH
4;2020-02-11T10:19:01;2020-02-11T21:50:27;FRENCH
5;2020-02-11T19:49:19;2020-02-12T00:36:18;FRENCH
6;2020-02-11T13:41:40;2020-02-12T01:49:54;FRENCH
7;2020-02-11T15:27:00;2020-02-11T09:17:51;FRENCH
8;2020-02-11T14:23:13;2020-02-12T00:39:21;SPANISH
9;2020-02-11T13:04:22;2020-02-11T09:45:45;SPANISH
10;2020-02-11T21:16:26;2020-02-11T07:50:56;SPANISH
